query,intent
How's the weather in Munchique National Natural Park,GetWeather
Tell me the weather forecast for France,GetWeather
Will there be wind in Hornitos DC?,GetWeather
Is it warm here now?,GetWeather
"what is the forecast for Roulo for foggy conditions on February the eighteenth, 2018",GetWeather
I want to eat in Wallis and Futuna and get a blizzard,GetWeather
what is the forecast in 23 hours and seventeen seconds at this current spot,GetWeather
I need a table at a restaurant in Montserrat,GetWeather
"What is the weather forecast for one am. in West Athens, Benin",GetWeather
What will the weather be this Afternoon in Brilliant MI?,GetWeather
What is the weather not far from Upper Klamath National Wildlife Refuge?,GetWeather
Weather in Parc national de Nech Sar,GetWeather
What will the weather be in Battle Lake?,GetWeather
Will it be temperate in the current place?,GetWeather
What is the weather for eight o'clock in Laos that is within walking distance,GetWeather
Tell me if it will it be windy in Grizzled Squirrel Wildlife Sanctuary,GetWeather
Will it be windy here on Dec. 16th?,GetWeather
What is the weather forecast for Danvers,GetWeather
"Will it be freezing on Jul. 7, 2038 in Vananda Alaska?",GetWeather
What will the weather be in Sche-Phoksundo-Nationalpark on leif erikson day?,GetWeather
Is the weather chilly in Pintura,GetWeather
What's the weather in Nigeria?,GetWeather
What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock,GetWeather
Is it hot in the current location?,GetWeather
Tell me the weather for Oct. the 26th in Rosewood Heights.,GetWeather
"What is the SD forecast for oct. 6th, 2037 for hot weather at Belle Vernon",GetWeather
Is it rainy in Greely Center?,GetWeather
"I need the weather in Hubbardston, will it be chillier?",GetWeather
Will it be colder in Texas?,GetWeather
Tell me the weather forecast for close by my current location,GetWeather
what is the forecast for Uganda at Yom Ha'atzmaut for chilly weather close from ,GetWeather
"Will it be sunny on March 1, 2026 in Forty Fort?",GetWeather
I want to book a restaurant in 40 weeks in Iowa.,GetWeather
what is the forecast for NV for First Day Of Sukkot,GetWeather
What is the weather forecast for Agate Fossil Beds National Monument,GetWeather
Tell me if it is cold in Federated States Of Micronesia,GetWeather
I need the weather for 7/13/2036 in Gwynedd Valley,GetWeather
Is it cold here?,GetWeather
Will there be rain next year in New Hampshire?,GetWeather
What is the weather at 5 am on the Farallon Islands?,GetWeather
Will it be windy at 4 Pm in NY?,GetWeather
"Tell me the weather forecast for Roseburg, Iowa",GetWeather
Weather in Malaysia,GetWeather
Need weather for 1 pm in Russell Gardens or close-by,GetWeather
Will it be windy in John Day?,GetWeather
What's the weather like at Nationaal park Bạch Mã,GetWeather
Will it be hotter in Hungary on February the 16th?,GetWeather
What will the weather be at six o'clock in the Virgin Islands?,GetWeather
is the weather going to be hotter in RI in one year,GetWeather
What is the weather in Weidman will it be warm,GetWeather
How cold will it get in Tajikistan around oct. eleventh?,GetWeather
What is the weather forecast here,GetWeather
Will it be warmer near here on jan. the fifteenth?,GetWeather
"Tell me the weather forecast for eight A.m. in Reminderville, FL",GetWeather
will it be chilly at 0 pm in Guam,GetWeather
Is it chillier here,GetWeather
Is it hot in the current location?,GetWeather
is it cold in Vigus TN,GetWeather
need a table now somewhere nearby Petit Manan National Wildlife Refuge,GetWeather
What's the weather in Ransom Canyon?,GetWeather
what is the forecast for Orienta for hotter weather,GetWeather
"Will it be hotter neighboring ME on august eighteenth, 2025?",GetWeather
What's the forecast for Sweden at 9 a.m.,GetWeather
Will it be temperate in West Liberty MH?,GetWeather
Will it be freezing 4 hours from now in Tonga,GetWeather
Will it be colder in Tallgrass Prairie National Preserve?,GetWeather
"What will the weather be on the Keeling Islands on aug. third, 2037?",GetWeather
Will there be a snowstorm on september the first in Bechtelsville Georgia?,GetWeather
Tell me the weather forecast for Finland,GetWeather
Give me the forecast for San Pedro River Preserve,GetWeather
is it humid in Humboldt Bay National Wildlife Refuge,GetWeather
Tell me if it will hail in Kyrgyzstan,GetWeather
Will it be cold in Haiti?,GetWeather
What's the weather in Humarock?,GetWeather
Tell me the weather forecast for Fort Yargo State Park,GetWeather
I need the weather in ND in three hundred fifty one days ,GetWeather
Tell me the weather forecast within the same area of Pocomoke River State Park,GetWeather
is it going to be windy on 8/8/2032 in North Charleston MT,GetWeather
Will the weather be freezing in Tennessee?,GetWeather
humidity in Netawaka WI,GetWeather
What's the weather this week in distant Bartholomew's Cobble?,GetWeather
what is the foreast for Spain at East Glacier Park at one pm,GetWeather
is it cloudy in Turkmenistan,GetWeather
what is the forecast for chillier conditions at Calipuy National Reservation,GetWeather
Will it rain in Blissfield Namibia nine hours 1 minute and one second from now?,GetWeather
Is it going to be colder in Bonnie,GetWeather
"What is the weather forecast for Deaver, SC on May 10th",GetWeather
Want to eat somewhere cold in the neighboring Antlers region on aug. 22,GetWeather
"Is it colder in Istanbul, Turkey or Amarillo, Greece?
",GetWeather
Will it be warm on Pink Hill?,GetWeather
what is the forecast for Winnabow,GetWeather
When will there be wind this year in Racine,GetWeather
Will it be humid in Weippe DC?,GetWeather
I need a table in Uruguay in 213 days when it's chillier,GetWeather
What is the weather forecast for my current position,GetWeather
Will there be cloud a year from now in MN?,GetWeather
Will there be snowfall at the current location at 3 o'clock?,GetWeather
weather in Holly Recreation Area at eight P.m,GetWeather
What will the weather be here at 10:19?,GetWeather
What is the weather now and here?,GetWeather
Will the weather be hot in Netherlands Antilles?,GetWeather
When will WI be temperate?,GetWeather
What will the weather be here?,GetWeather
When will it be temperate in Lansford,GetWeather
What's the weather in Macedonia,GetWeather
Weather in 3 minutes at Jean Lafitte National Historical Park and Preserve,GetWeather
"Will it be cold in East McKeesport Norfolk Island on february the twenty-second, 2038?",GetWeather
Weather in Gibraltar at meal time,GetWeather
Tell me if it will be foggy in Maxwell,GetWeather
What is the forecast for in one minute here,GetWeather
Weather conditions in East Pasadena,GetWeather
"Will the weather be colder on jul. 21st, 2020 in HI in Gost Creek",GetWeather
"Weather in Grey Eagle on Feb. fifteenth, 2034",GetWeather
what is the weather in Cotton Valley,GetWeather
What is the weather forecast for Cistern,GetWeather
How's the weather in Nebraska,GetWeather
what is the forecast in Mankins for seven p.m for snow in New Caledonia,GetWeather
Will it be foggy in Dunedin ND?,GetWeather
What is the weather forecast for Cistern,GetWeather
Will it be chillier in Elko WI at 07:51 p.m.?,GetWeather
what is the forecast starting at six pm at Janes Island State Park,GetWeather
"Tell me if it will be humid in West Lafayette, OK",GetWeather
What's the weather in Poland?,GetWeather
What is the humidity at my current position,GetWeather
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .,GetWeather
What kind of weather will be in VA 12 years from now?,GetWeather
